"Golden Gate","Richmond Bridge","Carquinez Bridge","Benicia Bridge","Decker_IsS","ThreeMile","SR_RioVista","SR_Mouth","SR_SteamboatSl","Georg_SloughN","SR_DCC","SR_BlwSteam","SR_SutterSl","SR_Freeport","UpRiver"
0,1,6,19,7,0,1,0,0,0,0,0,0,0,0
0,0,19,25,3.33333333333333,2.5,2.83333333333333,0,0.333333333333333,0,0,0,2,1,6
0,0,1.5,5.5,6.25,1.5,4.25,1.83333333333333,0,0.583333333333333,1.91666666666667,3.16666666666667,0,2.5,9
0,0,16,14,0,0,0,0,0,0,0,0,0,0,0
0,7.33333333333333,6.83333333333333,8.83333333333333,51,0,0,0,0,0,0,0,0,0,0
0,17,15.5,30.5,10.5,0,1.5,0,0,0,0,0,0,0,0
1,1.5,23.5,50,5,0,0,0,0,0,0,0,0,0,0
0,0,0,1.33333333333333,21.3333333333333,2,7.33333333333333,0,1,0,0,0,0,0,0
0,0,57.5,38.5,25,0,4,0,0,0,0,0,0,0,0
0,0,2,33,1.75,0,0.75,0,0,0,0.25,0.25,0.5,1,31.5
0,0,0,7,3.75,0,0.75,0.583333333333333,0.583333333333333,0,0.333333333333333,0.666666666666667,0.833333333333333,1.5,17
0,0,0,32,6.5,0,2.5,0.333333333333333,1,0,0.333333333333333,0.333333333333333,2.5,2,7.5
0,0,0,14,4.5,0,5,0,0,0.5,0.5,0.5,1,1,30
0,0,10,8,8.5,0,1,0.5,0,0,1,2,0,1,7
0,0,4.5,9.5,18.5,1,9.5,0.333333333333333,0,0,0.333333333333333,0.333333333333333,1,1,11
0,0,14,13,23.5,0,0.5,0,0,0,0,0,0,0,0
0,0,27,14,44.75,0,19.75,0.583333333333333,7.25,0,0.333333333333333,0.333333333333333,1,2,9
0,0,8,9,13.5,0,1.5,0,0,0,0,0,0,0,0
1,10.5,14,7.5,24.5,0,4.5,0,0,0,0,0,0,0,0
0,0,9,5.5,13.3333333333333,0.5,12.8333333333333,0,3.83333333333333,0,0,0,0,0,0
0,4,5,4,5.5,1.5,12,0,2,0,0,0,0,0,0
0,7,8.5,9.5,11.9166666666667,0.666666666666667,7.25,0.25,0.916666666666667,0,0,0,0,0,0
0,0,20,20,23,0,0,0,0,0,0,0,0,0,0
0,0,9,14,11,0,0,0,0,0,0,0,0,0,0
0,0,15.5,15.5,15.5,0,8.5,0,0,0,0,0,0,0,0
0,0,12,92,1,0,0,0,0,0,0,0,0,0,0
