"fishWYIDs","tagging.date","release.location","sex","fishlength","length.type","life.stage","detect.length","wateryear","studyID","wyclass","tagging.year","tag_age","age_est","age_group","fishID","n_wy","release.region"
"WST00025_2012",2010-09-21,"San_Pablo_Bay","U",870,"FL","","340","2012","WS-UCD-ACE-SFBay-2010","BN",2010,7,9,"Below Slot","WST00025",3,"DELTA"
"WST00025_2015",2010-09-21,"San_Pablo_Bay","U",870,"FL","","353","2015","WS-UCD-ACE-SFBay-2010","C",2010,7,12,"Fishery","WST00025",3,"DELTA"
"WST00026_2011",2010-09-21,"San_Pablo_Bay","U",990,"FL","","361","2011","WS-UCD-ACE-SFBay-2010","W",2010,8,9,"Below Slot","WST00026",5,"DELTA"
"WST00026_2013",2010-09-21,"San_Pablo_Bay","U",990,"FL","","359","2013","WS-UCD-ACE-SFBay-2010","D",2010,8,11,"Fishery","WST00026",5,"DELTA"
"WST00026_2014",2010-09-21,"San_Pablo_Bay","U",990,"FL","","338","2014","WS-UCD-ACE-SFBay-2010","C",2010,8,12,"Fishery","WST00026",5,"DELTA"
"WST00026_2015",2010-09-21,"San_Pablo_Bay","U",990,"FL","","331","2015","WS-UCD-ACE-SFBay-2010","C",2010,8,13,"Fishery","WST00026",5,"DELTA"
"WST00026_2016",2010-09-21,"San_Pablo_Bay","U",990,"FL","","324","2016","WS-UCD-ACE-SFBay-2010","BN",2010,8,14,"Fishery","WST00026",5,"DELTA"
"WST00027_2011",2010-09-22,"Grizzly_Bay","U",1190,"FL","","193","2011","WS-UCD-ACE-SFBay-2010","W",2010,11,12,"Fishery","WST00027",2,"DELTA"
"WST00027_2014",2010-09-22,"Grizzly_Bay","U",1190,"FL","","138","2014","WS-UCD-ACE-SFBay-2010","C",2010,11,15,"Fishery","WST00027",2,"DELTA"
"WST00029_2012",2010-09-22,"Grizzly_Bay","U",940,"FL","","190","2012","WS-UCD-ACE-SFBay-2010","BN",2010,8,10,"Below Slot","WST00029",1,"DELTA"
"WST00030_2011",2010-09-22,"Grizzly_Bay","F",1200,"FL","","286","2011","WS-UCD-ACE-SFBay-2010","W",2010,11,12,"Fishery","WST00030",1,"DELTA"
"WST00032_2013",2010-09-22,"Suisun_Bay","U",950,"FL","","362","2013","WS-UCD-ACE-SFBay-2010","D",2010,8,11,"Fishery","WST00032",5,"DELTA"
"WST00032_2014",2010-09-22,"Suisun_Bay","U",950,"FL","","352","2014","WS-UCD-ACE-SFBay-2010","C",2010,8,12,"Fishery","WST00032",5,"DELTA"
"WST00032_2015",2010-09-22,"Suisun_Bay","U",950,"FL","","353","2015","WS-UCD-ACE-SFBay-2010","C",2010,8,13,"Fishery","WST00032",5,"DELTA"
"WST00032_2016",2010-09-22,"Suisun_Bay","U",950,"FL","","364","2016","WS-UCD-ACE-SFBay-2010","BN",2010,8,14,"Fishery","WST00032",5,"DELTA"
"WST00032_2017",2010-09-22,"Suisun_Bay","U",950,"FL","","364","2017","WS-UCD-ACE-SFBay-2010","W",2010,8,15,"Fishery","WST00032",5,"DELTA"
"WST00034_2011",2010-09-23,"Grizzly_Bay","U",1370,"FL","","351","2011","WS-UCD-ACE-SFBay-2010","W",2010,14,15,"Fishery","WST00034",2,"DELTA"
"WST00034_2012",2010-09-23,"Grizzly_Bay","U",1370,"FL","","334","2012","WS-UCD-ACE-SFBay-2010","BN",2010,14,16,"Above Slot","WST00034",2,"DELTA"
"WST00035_2012",2010-09-23,"Grizzly_Bay","F",1070,"FL","","336","2012","WS-UCD-ACE-SFBay-2010","BN",2010,9,11,"Fishery","WST00035",1,"DELTA"
"WST00037_2011",2010-09-23,"Grizzly_Bay","U",1550,"FL","","342","2011","WS-UCD-ACE-SFBay-2010","W",2010,17,18,"Above Slot","WST00037",5,"DELTA"
"WST00037_2012",2010-09-23,"Grizzly_Bay","U",1550,"FL","","338","2012","WS-UCD-ACE-SFBay-2010","BN",2010,17,19,"Above Slot","WST00037",5,"DELTA"
"WST00037_2013",2010-09-23,"Grizzly_Bay","U",1550,"FL","","361","2013","WS-UCD-ACE-SFBay-2010","D",2010,17,20,"Above Slot","WST00037",5,"DELTA"
"WST00037_2014",2010-09-23,"Grizzly_Bay","U",1550,"FL","","364","2014","WS-UCD-ACE-SFBay-2010","C",2010,17,21,"Above Slot","WST00037",5,"DELTA"
"WST00037_2015",2010-09-23,"Grizzly_Bay","U",1550,"FL","","356","2015","WS-UCD-ACE-SFBay-2010","C",2010,17,22,"Above Slot","WST00037",5,"DELTA"
"WST00038_2011",2010-09-23,"Grizzly_Bay","U",1200,"FL","","184","2011","WS-UCD-ACE-SFBay-2010","W",2010,11,12,"Fishery","WST00038",2,"DELTA"
"WST00038_2013",2010-09-23,"Grizzly_Bay","U",1200,"FL","","170","2013","WS-UCD-ACE-SFBay-2010","D",2010,11,14,"Fishery","WST00038",2,"DELTA"
"WST00041_2011",2010-09-27,"Grizzly_Bay","U",940,"FL","","352","2011","WS-UCD-ACE-SFBay-2010","W",2010,8,9,"Below Slot","WST00041",2,"DELTA"
"WST00041_2015",2010-09-27,"Grizzly_Bay","U",940,"FL","","314","2015","WS-UCD-ACE-SFBay-2010","C",2010,8,13,"Fishery","WST00041",2,"DELTA"
"WST00042_2011",2010-09-27,"Grizzly_Bay","U",1100,"FL","","281","2011","WS-UCD-ACE-SFBay-2010","W",2010,10,11,"Fishery","WST00042",3,"DELTA"
"WST00042_2012",2010-09-27,"Grizzly_Bay","U",1100,"FL","","295","2012","WS-UCD-ACE-SFBay-2010","BN",2010,10,12,"Fishery","WST00042",3,"DELTA"
"WST00042_2013",2010-09-27,"Grizzly_Bay","U",1100,"FL","","265","2013","WS-UCD-ACE-SFBay-2010","D",2010,10,13,"Fishery","WST00042",3,"DELTA"
"WST00044_2011",2010-09-27,"Grizzly_Bay","U",930,"FL","","348","2011","WS-UCD-ACE-SFBay-2010","W",2010,8,9,"Below Slot","WST00044",1,"DELTA"
"WST00045_2011",2010-09-27,"Grizzly_Bay","U",1150,"FL","","361","2011","WS-UCD-ACE-SFBay-2010","W",2010,10,11,"Fishery","WST00045",2,"DELTA"
"WST00045_2012",2010-09-27,"Grizzly_Bay","U",1150,"FL","","358","2012","WS-UCD-ACE-SFBay-2010","BN",2010,10,12,"Fishery","WST00045",2,"DELTA"
"WST00046_2013",2010-09-27,"Grizzly_Bay","U",1020,"FL","","128","2013","WS-UCD-ACE-SFBay-2010","D",2010,9,12,"Fishery","WST00046",1,"DELTA"
"WST00047_2011",2010-09-27,"Grizzly_Bay","U",1610,"FL","","352","2011","WS-UCD-ACE-SFBay-2010","W",2010,18,19,"Above Slot","WST00047",6,"DELTA"
"WST00047_2012",2010-09-27,"Grizzly_Bay","U",1610,"FL","","339","2012","WS-UCD-ACE-SFBay-2010","BN",2010,18,20,"Above Slot","WST00047",6,"DELTA"
"WST00047_2013",2010-09-27,"Grizzly_Bay","U",1610,"FL","","320","2013","WS-UCD-ACE-SFBay-2010","D",2010,18,21,"Above Slot","WST00047",6,"DELTA"
"WST00047_2014",2010-09-27,"Grizzly_Bay","U",1610,"FL","","303","2014","WS-UCD-ACE-SFBay-2010","C",2010,18,22,"Above Slot","WST00047",6,"DELTA"
"WST00047_2015",2010-09-27,"Grizzly_Bay","U",1610,"FL","","344","2015","WS-UCD-ACE-SFBay-2010","C",2010,18,23,"Above Slot","WST00047",6,"DELTA"
"WST00047_2017",2010-09-27,"Grizzly_Bay","U",1610,"FL","","306","2017","WS-UCD-ACE-SFBay-2010","W",2010,18,25,"Above Slot","WST00047",6,"DELTA"
"WST00048_2011",2010-09-28,"Grizzly_Bay","F",1260,"FL","","247","2011","WS-UCD-ACE-SFBay-2010","W",2010,12,13,"Fishery","WST00048",1,"DELTA"
"WST00049_2011",2010-09-28,"Grizzly_Bay","U",1280,"FL","","359","2011","WS-UCD-ACE-SFBay-2010","W",2010,12,13,"Fishery","WST00049",3,"DELTA"
"WST00049_2012",2010-09-28,"Grizzly_Bay","U",1280,"FL","","337","2012","WS-UCD-ACE-SFBay-2010","BN",2010,12,14,"Fishery","WST00049",3,"DELTA"
"WST00049_2013",2010-09-28,"Grizzly_Bay","U",1280,"FL","","363","2013","WS-UCD-ACE-SFBay-2010","D",2010,12,15,"Fishery","WST00049",3,"DELTA"
"WST00055_2011",2010-09-29,"Grizzly_Bay","U",1060,"FL","","354","2011","WS-UCD-ACE-SFBay-2010","W",2010,9,10,"Below Slot","WST00055",1,"DELTA"
"WST00056_2012",2010-09-29,"Grizzly_Bay","U",1350,"FL","","353","2012","WS-UCD-ACE-SFBay-2010","BN",2010,13,15,"Fishery","WST00056",4,"DELTA"
"WST00056_2014",2010-09-29,"Grizzly_Bay","U",1350,"FL","","356","2014","WS-UCD-ACE-SFBay-2010","C",2010,13,17,"Above Slot","WST00056",4,"DELTA"
"WST00056_2015",2010-09-29,"Grizzly_Bay","U",1350,"FL","","204","2015","WS-UCD-ACE-SFBay-2010","C",2010,13,18,"Above Slot","WST00056",4,"DELTA"
"WST00056_2017",2010-09-29,"Grizzly_Bay","U",1350,"FL","","336","2017","WS-UCD-ACE-SFBay-2010","W",2010,13,20,"Above Slot","WST00056",4,"DELTA"
"WST00057_2011",2010-09-29,"Grizzly_Bay","U",1130,"FL","","361","2011","WS-UCD-ACE-SFBay-2010","W",2010,10,11,"Fishery","WST00057",6,"DELTA"
"WST00057_2012",2010-09-29,"Grizzly_Bay","U",1130,"FL","","334","2012","WS-UCD-ACE-SFBay-2010","BN",2010,10,12,"Fishery","WST00057",6,"DELTA"
"WST00057_2013",2010-09-29,"Grizzly_Bay","U",1130,"FL","","334","2013","WS-UCD-ACE-SFBay-2010","D",2010,10,13,"Fishery","WST00057",6,"DELTA"
"WST00057_2014",2010-09-29,"Grizzly_Bay","U",1130,"FL","","352","2014","WS-UCD-ACE-SFBay-2010","C",2010,10,14,"Fishery","WST00057",6,"DELTA"
"WST00057_2015",2010-09-29,"Grizzly_Bay","U",1130,"FL","","338","2015","WS-UCD-ACE-SFBay-2010","C",2010,10,15,"Fishery","WST00057",6,"DELTA"
"WST00057_2016",2010-09-29,"Grizzly_Bay","U",1130,"FL","","320","2016","WS-UCD-ACE-SFBay-2010","BN",2010,10,16,"Above Slot","WST00057",6,"DELTA"
"WST00058_2011",2010-09-29,"Grizzly_Bay","U",1020,"FL","","346","2011","WS-UCD-ACE-SFBay-2010","W",2010,9,10,"Below Slot","WST00058",1,"DELTA"
"WST00060_2011",2010-09-29,"Grizzly_Bay","U",1210,"FL","","343","2011","WS-UCD-ACE-SFBay-2010","W",2010,11,12,"Fishery","WST00060",7,"DELTA"
"WST00060_2012",2010-09-29,"Grizzly_Bay","U",1210,"FL","","349","2012","WS-UCD-ACE-SFBay-2010","BN",2010,11,13,"Fishery","WST00060",7,"DELTA"
"WST00060_2013",2010-09-29,"Grizzly_Bay","U",1210,"FL","","356","2013","WS-UCD-ACE-SFBay-2010","D",2010,11,14,"Fishery","WST00060",7,"DELTA"
"WST00060_2014",2010-09-29,"Grizzly_Bay","U",1210,"FL","","361","2014","WS-UCD-ACE-SFBay-2010","C",2010,11,15,"Fishery","WST00060",7,"DELTA"
"WST00060_2015",2010-09-29,"Grizzly_Bay","U",1210,"FL","","342","2015","WS-UCD-ACE-SFBay-2010","C",2010,11,16,"Above Slot","WST00060",7,"DELTA"
"WST00060_2016",2010-09-29,"Grizzly_Bay","U",1210,"FL","","343","2016","WS-UCD-ACE-SFBay-2010","BN",2010,11,17,"Above Slot","WST00060",7,"DELTA"
"WST00060_2017",2010-09-29,"Grizzly_Bay","U",1210,"FL","","353","2017","WS-UCD-ACE-SFBay-2010","W",2010,11,18,"Above Slot","WST00060",7,"DELTA"
"WST00064_2011",2010-09-29,"Grizzly_Bay","U",1160,"FL","","360","2011","WS-UCD-ACE-SFBay-2010","W",2010,11,12,"Fishery","WST00064",7,"DELTA"
"WST00064_2012",2010-09-29,"Grizzly_Bay","U",1160,"FL","","345","2012","WS-UCD-ACE-SFBay-2010","BN",2010,11,13,"Fishery","WST00064",7,"DELTA"
"WST00064_2013",2010-09-29,"Grizzly_Bay","U",1160,"FL","","294","2013","WS-UCD-ACE-SFBay-2010","D",2010,11,14,"Fishery","WST00064",7,"DELTA"
"WST00064_2014",2010-09-29,"Grizzly_Bay","U",1160,"FL","","364","2014","WS-UCD-ACE-SFBay-2010","C",2010,11,15,"Fishery","WST00064",7,"DELTA"
"WST00064_2015",2010-09-29,"Grizzly_Bay","U",1160,"FL","","364","2015","WS-UCD-ACE-SFBay-2010","C",2010,11,16,"Above Slot","WST00064",7,"DELTA"
"WST00064_2016",2010-09-29,"Grizzly_Bay","U",1160,"FL","","312","2016","WS-UCD-ACE-SFBay-2010","BN",2010,11,17,"Above Slot","WST00064",7,"DELTA"
"WST00064_2017",2010-09-29,"Grizzly_Bay","U",1160,"FL","","326","2017","WS-UCD-ACE-SFBay-2010","W",2010,11,18,"Above Slot","WST00064",7,"DELTA"
"WST00066_2011",2010-09-29,"Grizzly_Bay","U",1260,"FL","","363","2011","WS-UCD-ACE-SFBay-2010","W",2010,12,13,"Fishery","WST00066",2,"DELTA"
"WST00066_2012",2010-09-29,"Grizzly_Bay","U",1260,"FL","","363","2012","WS-UCD-ACE-SFBay-2010","BN",2010,12,14,"Fishery","WST00066",2,"DELTA"
"WST00072_2011",2010-10-04,"Grizzly_Bay","U",1190,"FL","","321","2011","WS-UCD-ACE-SFBay-2010","W",2010,11,12,"Fishery","WST00072",3,"DELTA"
"WST00072_2012",2010-10-04,"Grizzly_Bay","U",1190,"FL","","308","2012","WS-UCD-ACE-SFBay-2010","BN",2010,11,13,"Fishery","WST00072",3,"DELTA"
"WST00072_2013",2010-10-04,"Grizzly_Bay","U",1190,"FL","","146","2013","WS-UCD-ACE-SFBay-2010","D",2010,11,14,"Fishery","WST00072",3,"DELTA"
"WST00074_2011",2010-10-04,"Grizzly_Bay","U",1070,"FL","","325","2011","WS-UCD-ACE-SFBay-2010","W",2010,9,10,"Below Slot","WST00074",3,"DELTA"
"WST00074_2012",2010-10-04,"Grizzly_Bay","U",1070,"FL","","311","2012","WS-UCD-ACE-SFBay-2010","BN",2010,9,11,"Fishery","WST00074",3,"DELTA"
"WST00074_2015",2010-10-04,"Grizzly_Bay","U",1070,"FL","","351","2015","WS-UCD-ACE-SFBay-2010","C",2010,9,14,"Fishery","WST00074",3,"DELTA"
"WST00075_2011",2010-10-04,"Grizzly_Bay","U",1070,"FL","","187","2011","WS-UCD-ACE-SFBay-2010","W",2010,9,10,"Below Slot","WST00075",1,"DELTA"
"WST00077_2011",2010-10-05,"Grizzly_Bay","U",890,"FL","","351","2011","WS-UCD-ACE-SFBay-2010","W",2010,7,8,"Below Slot","WST00077",7,"DELTA"
"WST00077_2012",2010-10-05,"Grizzly_Bay","U",890,"FL","","312","2012","WS-UCD-ACE-SFBay-2010","BN",2010,7,9,"Below Slot","WST00077",7,"DELTA"
